GEOID,CAT,HH,MOVE_OUT,MOVE_IN,MOVE_WITHIN,MOVE_IN_RATE,MOVE_OUT_RATE,MOVE_WITHIN_RATE
06019003201,high,430,32,61,2,0.141860465116279,0.0744186046511628,0.00465116279069768
06019003201,low,1796,157,170,9,0.0946547884187082,0.0874164810690423,0.00501113585746103
06019003201,middle,1279,107,126,7,0.0985144644253323,0.0836591086786552,0.00547302580140735
06019003201,very_low,2477,216,229,14,0.09245054501413,0.0872022607993541,0.00565199838514332
06019003202,high,881,57,90,7,0.102156640181612,0.0646992054483541,0.00794551645856981
06019003202,low,2621,284,212,34,0.0808851583365128,0.108355589469668,0.0129721480351011
06019003202,middle,2063,160,159,12,0.0770722249151721,0.0775569558894813,0.0058167716917111
06019003202,very_low,3609,367,298,39,0.0825713494042671,0.101690218897201,0.0108063175394846
06019003301,high,644,68,88,7,0.136645962732919,0.105590062111801,0.0108695652173913
06019003301,low,1286,143,125,18,0.0972006220839813,0.111197511664075,0.0139968895800933
06019003301,middle,999,110,97,12,0.0970970970970971,0.11011011011011,0.012012012012012
06019003301,very_low,2174,192,139,20,0.0639374425022999,0.0883164673413064,0.00919963201471941
06019003302,high,467,37,59,14,0.126338329764454,0.0792291220556745,0.0299785867237687
06019003302,low,2251,236,187,28,0.0830741892492226,0.104842292314527,0.0124389160373167
06019003302,middle,1171,121,129,13,0.110162254483348,0.10333048676345,0.0111016225448335
06019003302,very_low,3446,338,224,38,0.0650029019152641,0.098084735925711,0.0110272780034823
06019003400,high,469,48,62,9,0.132196162046908,0.102345415778252,0.0191897654584222
06019003400,low,2137,175,157,20,0.0734674777725784,0.0818905007019186,0.00935891436593355
06019003400,middle,1147,119,103,14,0.0897994768962511,0.103748910200523,0.012205754141238
06019003400,very_low,4261,367,345,59,0.0809669091762497,0.0861300164280685,0.013846514902605
06019003500,high,2193,258,242,34,0.110351117191062,0.117647058823529,0.0155038759689922
06019003500,low,2707,314,243,32,0.0897672700406354,0.115995567048393,0.0118212042851866
06019003500,middle,2593,308,244,32,0.0940994986502121,0.118781334361743,0.0123409178557655
06019003500,very_low,2936,311,246,30,0.0837874659400545,0.105926430517711,0.0102179836512262
06019003600,high,2536,329,334,36,0.131703470031546,0.129731861198738,0.0141955835962145
06019003600,low,1056,130,116,4,0.109848484848485,0.123106060606061,0.00378787878787879
06019003600,middle,1399,167,162,11,0.115796997855611,0.119370979270908,0.00786275911365261
06019003600,very_low,488,39,65,2,0.133196721311475,0.0799180327868853,0.00409836065573771
06019003701,high,690,51,69,6,0.1,0.0739130434782609,0.00869565217391304
06019003701,low,1886,188,159,14,0.084305408271474,0.0996818663838812,0.00742311770943796
06019003701,middle,1325,110,120,12,0.0905660377358491,0.0830188679245283,0.00905660377358491
06019003701,very_low,2009,182,182,12,0.0905923344947735,0.0905923344947735,0.00597312095569935
06019003702,high,531,49,69,6,0.129943502824859,0.0922787193973635,0.0112994350282486
06019003702,low,2081,188,164,12,0.0788082652570879,0.0903411821239789,0.00576645843344546
06019003702,middle,1761,165,166,15,0.0942646223736513,0.0936967632027257,0.00851788756388416
06019003702,very_low,3005,274,289,21,0.0961730449251248,0.0911813643926789,0.00698835274542429
06019003803,high,2894,343,433,43,0.1496199032481,0.118521078092605,0.0148583275742916
06019003803,low,456,29,38,7,0.0833333333333333,0.0635964912280702,0.0153508771929825
06019003803,middle,1718,142,279,38,0.162398137369034,0.0826542491268917,0.0221187427240978
06019003803,very_low,66,4,0,1,0,0.0606060606060606,0.0151515151515152
06019003804,high,1903,274,308,36,0.161849710982659,0.143983184445612,0.0189174986862848
06019003804,low,898,84,114,12,0.126948775055679,0.0935412026726058,0.0133630289532294
06019003804,middle,1575,189,220,21,0.13968253968254,0.12,0.0133333333333333
06019003804,very_low,52,6,11,0,0.211538461538462,0.115384615384615,0
06019003805,high,1270,129,203,16,0.159842519685039,0.101574803149606,0.0125984251968504
06019003805,low,3013,311,266,40,0.0882841022236973,0.103219382675075,0.0132758048456688
06019003805,middle,2756,284,271,43,0.0983309143686502,0.103047895500726,0.0156023222060958
06019003805,very_low,3330,296,323,40,0.096996996996997,0.0888888888888889,0.012012012012012
06019003807,high,812,81,108,6,0.133004926108374,0.0997536945812808,0.00738916256157635
06019003807,low,1365,106,106,10,0.0776556776556777,0.0776556776556777,0.00732600732600733
