reportDate,zip,confirmed_cases,total_tested
3/17/21 0:00,62707,676,13228
3/17/21 0:00,62708,23,341
3/17/21 0:00,62711,1715,28658
3/17/21 0:00,62712,967,14361
3/17/21 0:00,62791,22,318
3/17/21 0:00,62801,2522,54319
3/17/21 0:00,62803,114,793
3/17/21 0:00,62806,290,2093
3/17/21 0:00,62807,98,868
3/17/21 0:00,62808,151,1131
3/17/21 0:00,62809,34,203
3/17/21 0:00,62810,98,663
3/17/21 0:00,62811,20,158
3/17/21 0:00,62812,1267,16000
3/17/21 0:00,62814,148,1535
3/17/21 0:00,62815,29,233
3/17/21 0:00,62816,109,837
3/17/21 0:00,62817,48,411
3/17/21 0:00,62818,26,275
3/17/21 0:00,62819,48,440
3/17/21 0:00,62820,18,133
3/17/21 0:00,62821,937,15495
3/17/21 0:00,62822,270,2933
3/17/21 0:00,62823,166,2030
3/17/21 0:00,62824,159,1608
3/17/21 0:00,62825,18,241
3/17/21 0:00,62827,95,910
3/17/21 0:00,62828,153,1099
3/17/21 0:00,62830,143,998
3/17/21 0:00,62831,56,390
3/17/21 0:00,62832,1106,11304
3/17/21 0:00,62833,29,177
3/17/21 0:00,62835,129,1163
3/17/21 0:00,62836,71,614
3/17/21 0:00,62837,933,9216
3/17/21 0:00,62838,188,1328
3/17/21 0:00,62839,772,7887
3/17/21 0:00,62841,18,312
3/17/21 0:00,62842,77,567
3/17/21 0:00,62843,7,56
3/17/21 0:00,62844,235,1847
3/17/21 0:00,62846,467,15360
3/17/21 0:00,62848,59,686
3/17/21 0:00,62849,194,1778
3/17/21 0:00,62850,17,136
3/17/21 0:00,62851,35,224
3/17/21 0:00,62852,17,113
3/17/21 0:00,62853,94,994
3/17/21 0:00,62854,161,1411
3/17/21 0:00,62856,21,228
3/17/21 0:00,62858,321,2598
3/17/21 0:00,62859,528,4745
3/17/21 0:00,62860,38,419
3/17/21 0:00,62862,24,160
3/17/21 0:00,62863,1161,11063
3/17/21 0:00,62864,2405,23963
3/17/21 0:00,62865,247,1831
3/17/21 0:00,62867,45,409
3/17/21 0:00,62868,157,1620
3/17/21 0:00,62869,254,2089
3/17/21 0:00,62870,291,3406
3/17/21 0:00,62871,49,466
3/17/21 0:00,62872,108,736
3/17/21 0:00,62874,44,293
3/17/21 0:00,62875,158,1387
3/17/21 0:00,62876,22,112
3/17/21 0:00,62877,43,428
3/17/21 0:00,62878,37,304
3/17/21 0:00,62880,90,697
3/17/21 0:00,62881,1178,16213
3/17/21 0:00,62882,256,2808
3/17/21 0:00,62883,66,577
3/17/21 0:00,62884,335,2592
