GEOID,Aggravated Assault,Aircraft,Arson,Assembly or Gathering Violations,Auto Theft,Auto Theft Recovery,Ballistics,Biological Threat,Bomb Hoax,Burglary - No Property Taken,Commercial Burglary,Confidence Games,Counterfeiting,Criminal Harassment,Disorderly Conduct,Drug Violation,Embezzlement,Evading Fare,Explosives,Fire Related Reports,Firearm Discovery,Firearm Violations,Fraud,Gambling,HOME INVASION,HUMAN TRAFFICKING,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Harassment,Harbor Related Incidents,Homicide,INVESTIGATE PERSON,Investigate Person,Investigate Property,Landlord/Tenant Disputes,Larceny,Larceny From Motor Vehicle,License Plate Related Incidents,License Violation,Liquor Violation,Manslaughter,Medical Assistance,Miscellaneous Offenses,Missing Person Located,Missing Person Reported,Motor Vehicle Accident Response,Offenses Against Child / Family,Operating Under the Influence,Other,Other Burglary,Phone Call Complaints,Police Service Incidents,Prisoner Related Incidents,Property Found,Property Lost,Property Related Damage,Prostitution,Recovered Stolen Property,Residential Burglary,Restraining Order Violations,Robbery,Search Warrants,Service,Simple Assault,Towed,Vandalism,Verbal Disputes,Violations,Warrant Arrests,TOTAL
25025000601,31.0,0.0,0.0,1.0,23.0,2.0,6.0,0.0,1.0,0.0,6.0,15.0,14.0,2.0,15.0,227.0,1.0,5.0,0.0,9.0,12.0,4.0,37.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,152.0,102.0,1.0,129.0,44.0,6.0,16.0,2.0,0.0,191.0,1153.0,21.0,9.0,219.0,2.0,4.0,80.0,3.0,0.0,33.0,6.0,105.0,68.0,6.0,1.0,6.0,37.0,12.0,14.0,25.0,0.0,92.0,91.0,98.0,27.0,26.0,40.0,3258
25025000602,66.0,0.0,2.0,7.0,20.0,4.0,5.0,0.0,4.0,0.0,8.0,21.0,7.0,4.0,34.0,101.0,0.0,3.0,0.0,22.0,2.0,25.0,36.0,0.0,2.0,0.0,0.0,44.0,0.0,0.0,0.0,186.0,60.0,5.0,174.0,28.0,3.0,7.0,2.0,0.0,273.0,380.0,161.0,111.0,213.0,6.0,5.0,166.0,7.0,2.0,13.0,2.0,31.0,49.0,9.0,0.0,9.0,69.0,9.0,29.0,2.0,3.0,203.0,109.0,118.0,102.0,30.0,45.0,3038
25025000701,16.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,2.0,15.0,6.0,1.0,1.0,19.0,0.0,1.0,0.0,14.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,77.0,42.0,6.0,105.0,32.0,9.0,0.0,0.0,0.0,82.0,178.0,4.0,5.0,150.0,0.0,0.0,43.0,1.0,0.0,8.0,0.0,10.0,29.0,9.0,1.0,2.0,67.0,2.0,7.0,0.0,2.0,27.0,138.0,56.0,41.0,9.0,7.0,1311
25025000703,54.0,0.0,1.0,1.0,34.0,5.0,2.0,0.0,0.0,0.0,13.0,25.0,15.0,2.0,7.0,35.0,7.0,3.0,0.0,6.0,1.0,2.0,40.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,84.0,56.0,1.0,276.0,59.0,3.0,57.0,9.0,0.0,140.0,204.0,8.0,4.0,211.0,1.0,2.0,71.0,3.0,1.0,11.0,1.0,28.0,85.0,5.0,0.0,10.0,65.0,3.0,19.0,3.0,1.0,107.0,90.0,105.0,22.0,25.0,24.0,2060
25025000704,19.0,0.0,1.0,1.0,30.0,2.0,0.0,0.0,0.0,0.0,1.0,27.0,6.0,1.0,6.0,28.0,2.0,3.0,0.0,19.0,2.0,6.0,67.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,87.0,48.0,3.0,199.0,36.0,0.0,18.0,2.0,0.0,150.0,210.0,14.0,11.0,143.0,1.0,2.0,78.0,3.0,0.0,13.0,0.0,19.0,61.0,9.0,0.0,4.0,52.0,2.0,14.0,2.0,2.0,60.0,142.0,82.0,27.0,12.0,11.0,1761
25025000802,66.0,0.0,1.0,28.0,64.0,12.0,3.0,0.0,2.0,0.0,16.0,37.0,18.0,4.0,35.0,66.0,5.0,9.0,0.0,39.0,3.0,4.0,81.0,0.0,0.0,3.0,0.0,36.0,0.0,0.0,0.0,188.0,118.0,11.0,331.0,85.0,10.0,63.0,8.0,0.0,266.0,511.0,27.0,17.0,396.0,4.0,9.0,142.0,15.0,3.0,13.0,1.0,40.0,110.0,27.0,24.0,13.0,206.0,14.0,40.0,6.0,1.0,175.0,162.0,220.0,79.0,70.0,27.0,3964
25025000803,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,3.0,0.0,6.0,9.0,0.0,1.0,0.0,3.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,45.0,44.0,0.0,42.0,1.0,0.0,31.0,9.0,0.0,69.0,209.0,3.0,1.0,117.0,13.0,0.0,21.0,1.0,0.0,9.0,0.0,5.0,30.0,1.0,1.0,1.0,2.0,1.0,4.0,9.0,0.0,35.0,23.0,13.0,3.0,4.0,7.0,811
25025010103,1.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,9.0,0.0,16.0,8.0,0.0,1.0,0.0,0.0,13.0,21.0,1.0,1.0,80.0,0.0,3.0,15.0,0.0,0.0,2.0,0.0,3.0,16.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,2.0,17.0,5.0,0.0,0.0,0.0,283
25025010104,14.0,0.0,0.0,1.0,16.0,6.0,1.0,0.0,0.0,0.0,4.0,18.0,7.0,0.0,3.0,18.0,2.0,3.0,0.0,9.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,65.0,44.0,0.0,157.0,234.0,1.0,16.0,4.0,0.0,88.0,135.0,3.0,2.0,183.0,0.0,3.0,55.0,3.0,0.0,3.0,0.0,23.0,56.0,3.0,0.0,8.0,23.0,0.0,20.0,0.0,0.0,55.0,63.0,109.0,13.0,5.0,16.0,1539
25025010203,96.0,1.0,0.0,0.0,47.0,5.0,3.0,0.0,1.0,0.0,20.0,47.0,18.0,1.0,103.0,38.0,14.0,7.0,0.0,11.0,8.0,9.0,86.0,0.0,0.0,0.0,0.0,19.0,0.0,4.0,0.0,150.0,323.0,2.0,809.0,84.0,2.0,108.0,36.0,0.0,191.0,275.0,26.0,15.0,241.0,1.0,3.0,163.0,3.0,0.0,23.0,5.0,47.0,212.0,8.0,0.0,23.0,47.0,4.0,42.0,2.0,5.0,316.0,114.0,121.0,36.0,17.0,91.0,4083
