GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031350400,9.0,591.0,2032.0,87.0,0.0,38.0,370.0,1.0,1973.0,113.0,0.0,8.0,13.0,0.0,11.0,6.0,0.0,6.0,154.0,3283.0,0.0,0.0,0.0,1.0,43.0,0.0,356.0,28.0,0.0,21.0,0.0,183.0,26.0,6.0,672.0,86.0,10117
17031351000,3.0,424.0,1214.0,165.0,1.0,27.0,595.0,3.0,165.0,380.0,0.0,4.0,1.0,0.0,5.0,1.0,5.0,4.0,386.0,426.0,0.0,0.0,0.0,0.0,35.0,0.0,485.0,1.0,0.0,28.0,0.0,373.0,24.0,3.0,2640.0,37.0,7435
17031351100,8.0,968.0,3248.0,260.0,0.0,54.0,915.0,2.0,1523.0,210.0,0.0,43.0,13.0,0.0,26.0,9.0,5.0,3.0,403.0,3839.0,0.0,0.0,0.0,0.0,61.0,0.0,798.0,10.0,0.0,42.0,0.0,332.0,29.0,1.0,1244.0,111.0,14157
17031351400,7.0,662.0,1772.0,240.0,2.0,36.0,753.0,0.0,467.0,194.0,0.0,13.0,17.0,0.0,12.0,12.0,11.0,11.0,283.0,1328.0,1.0,2.0,0.0,1.0,48.0,0.0,683.0,8.0,0.0,38.0,0.0,311.0,32.0,6.0,1098.0,67.0,8115
17031351500,0.0,184.0,765.0,84.0,0.0,6.0,246.0,0.0,613.0,125.0,0.0,14.0,4.0,0.0,5.0,0.0,2.0,1.0,87.0,1915.0,0.0,0.0,0.0,0.0,13.0,0.0,131.0,4.0,0.0,11.0,0.0,146.0,10.0,1.0,417.0,36.0,4820
17031360200,4.0,326.0,1063.0,176.0,0.0,25.0,580.0,1.0,295.0,95.0,0.0,10.0,6.0,0.0,4.0,4.0,3.0,1.0,158.0,627.0,0.0,1.0,0.0,0.0,27.0,0.0,292.0,0.0,1.0,21.0,0.0,179.0,17.0,0.0,570.0,50.0,4536
17031380100,9.0,583.0,1412.0,353.0,0.0,24.0,776.0,0.0,195.0,173.0,0.0,40.0,13.0,0.0,12.0,2.0,5.0,2.0,308.0,567.0,0.0,0.0,0.0,1.0,35.0,0.0,457.0,10.0,1.0,15.0,1.0,215.0,22.0,5.0,1063.0,60.0,6359
17031380200,2.0,250.0,736.0,249.0,0.0,19.0,463.0,1.0,89.0,147.0,0.0,5.0,2.0,0.0,3.0,0.0,1.0,5.0,274.0,147.0,0.0,0.0,0.0,2.0,20.0,0.0,336.0,5.0,0.0,15.0,0.0,132.0,9.0,1.0,868.0,27.0,3808
17031380500,2.0,263.0,768.0,119.0,0.0,7.0,273.0,1.0,232.0,71.0,0.0,5.0,7.0,0.0,4.0,1.0,4.0,2.0,82.0,736.0,0.0,0.0,0.0,0.0,14.0,0.0,161.0,5.0,0.0,10.0,0.0,122.0,11.0,2.0,381.0,29.0,3312
17031380700,5.0,358.0,1129.0,274.0,0.0,24.0,564.0,2.0,114.0,97.0,0.0,10.0,5.0,0.0,8.0,1.0,7.0,2.0,258.0,478.0,0.0,0.0,0.0,1.0,33.0,0.0,376.0,25.0,1.0,18.0,0.0,176.0,23.0,2.0,790.0,47.0,4828
17031381200,6.0,518.0,1668.0,417.0,0.0,36.0,823.0,1.0,137.0,177.0,0.0,14.0,20.0,0.0,17.0,3.0,5.0,12.0,343.0,752.0,0.0,0.0,0.0,1.0,43.0,0.0,584.0,25.0,0.0,26.0,0.0,317.0,16.0,6.0,1155.0,101.0,7223
17031381400,10.0,768.0,2412.0,464.0,0.0,46.0,934.0,0.0,293.0,352.0,0.0,44.0,18.0,0.0,35.0,5.0,11.0,12.0,467.0,1244.0,0.0,0.0,0.0,0.0,51.0,0.0,550.0,610.0,1.0,57.0,0.0,607.0,28.0,8.0,1647.0,136.0,10810
17031381500,3.0,153.0,436.0,105.0,0.0,2.0,203.0,0.0,76.0,53.0,0.0,14.0,2.0,0.0,9.0,2.0,0.0,4.0,98.0,411.0,0.0,0.0,0.0,0.0,11.0,0.0,115.0,60.0,0.0,10.0,0.0,128.0,5.0,0.0,330.0,26.0,2256
17031381700,1.0,313.0,1159.0,69.0,0.0,9.0,308.0,0.0,142.0,33.0,0.0,5.0,7.0,0.0,2.0,2.0,2.0,3.0,50.0,399.0,0.0,0.0,0.0,1.0,13.0,0.0,72.0,0.0,0.0,12.0,0.0,93.0,19.0,0.0,265.0,37.0,3016
17031381800,13.0,800.0,2441.0,504.0,0.0,39.0,778.0,1.0,291.0,164.0,0.0,26.0,20.0,0.0,32.0,4.0,6.0,17.0,330.0,920.0,0.0,0.0,0.0,0.0,48.0,0.0,409.0,563.0,0.0,80.0,0.0,494.0,37.0,4.0,1483.0,102.0,9606
17031381900,5.0,338.0,912.0,234.0,0.0,16.0,488.0,1.0,127.0,99.0,0.0,11.0,6.0,0.0,4.0,1.0,7.0,0.0,282.0,188.0,0.0,0.0,0.0,1.0,31.0,0.0,340.0,3.0,0.0,25.0,0.0,110.0,15.0,2.0,738.0,55.0,4039
17031390100,3.0,338.0,739.0,235.0,0.0,18.0,430.0,0.0,167.0,218.0,0.0,1.0,5.0,0.0,2.0,0.0,2.0,3.0,171.0,116.0,0.0,0.0,0.0,1.0,24.0,0.0,350.0,2.0,0.0,13.0,0.0,177.0,14.0,2.0,1367.0,21.0,4419
17031390200,5.0,320.0,867.0,391.0,0.0,16.0,630.0,0.0,103.0,149.0,0.0,7.0,3.0,0.0,2.0,2.0,8.0,2.0,217.0,183.0,0.0,0.0,0.0,0.0,44.0,0.0,399.0,1.0,0.0,17.0,0.0,178.0,17.0,5.0,954.0,37.0,4557
17031390300,12.0,786.0,2333.0,519.0,0.0,39.0,991.0,1.0,247.0,321.0,0.0,17.0,9.0,0.0,11.0,5.0,6.0,6.0,348.0,569.0,0.0,0.0,0.0,2.0,91.0,0.0,786.0,1.0,0.0,40.0,0.0,323.0,29.0,5.0,1486.0,93.0,9076
17031390400,12.0,695.0,1892.0,506.0,0.0,39.0,1109.0,2.0,337.0,307.0,0.0,43.0,9.0,0.0,12.0,5.0,4.0,10.0,396.0,841.0,0.0,0.0,0.0,1.0,60.0,0.0,708.0,2.0,0.0,46.0,0.0,365.0,23.0,5.0,1966.0,93.0,9488
17031390500,2.0,159.0,409.0,206.0,0.0,17.0,338.0,0.0,67.0,100.0,0.0,4.0,4.0,0.0,3.0,4.0,3.0,1.0,155.0,114.0,0.0,0.0,0.0,0.0,15.0,0.0,174.0,0.0,0.0,6.0,0.0,160.0,4.0,1.0,601.0,15.0,2562
17031390600,3.0,158.0,359.0,209.0,0.0,9.0,361.0,0.0,63.0,128.0,0.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,182.0,44.0,0.0,0.0,0.0,1.0,19.0,0.0,186.0,0.0,0.0,4.0,0.0,162.0,19.0,2.0,943.0,11.0,2872
17031390700,3.0,499.0,1169.0,198.0,0.0,35.0,721.0,1.0,141.0,466.0,0.0,3.0,2.0,0.0,7.0,3.0,3.0,4.0,421.0,196.0,0.0,1.0,0.0,1.0,68.0,0.0,615.0,1.0,0.0,35.0,0.0,280.0,28.0,4.0,2581.0,51.0,7537
17031400300,9.0,799.0,2515.0,588.0,0.0,68.0,1607.0,4.0,305.0,223.0,0.0,31.0,28.0,0.0,25.0,5.0,9.0,4.0,844.0,751.0,0.0,0.0,0.0,0.0,83.0,0.0,712.0,326.0,1.0,47.0,0.0,673.0,27.0,4.0,2272.0,128.0,12088
17031400400,12.0,794.0,2871.0,645.0,0.0,48.0,1249.0,1.0,548.0,189.0,0.0,74.0,21.0,0.0,15.0,2.0,10.0,16.0,501.0,1279.0,0.0,0.0,0.0,2.0,62.0,0.0,653.0,710.0,0.0,45.0,0.0,546.0,30.0,3.0,1483.0,162.0,11971
17031400500,14.0,1088.0,3421.0,921.0,0.0,54.0,1482.0,1.0,455.0,236.0,0.0,47.0,36.0,0.0,43.0,2.0,11.0,13.0,515.0,1109.0,0.0,0.0,0.0,2.0,114.0,0.0,737.0,25.0,0.0,76.0,0.0,487.0,37.0,2.0,1574.0,193.0,12695
17031400800,23.0,1205.0,4017.0,845.0,1.0,65.0,1661.0,0.0,745.0,254.0,0.0,56.0,35.0,0.0,36.0,9.0,19.0,9.0,664.0,2421.0,0.0,0.0,0.0,1.0,146.0,0.0,1041.0,91.0,0.0,76.0,0.0,685.0,40.0,9.0,1811.0,212.0,16177
17031410100,2.0,228.0,602.0,189.0,0.0,9.0,346.0,0.0,89.0,193.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,4.0,144.0,104.0,0.0,0.0,0.0,1.0,21.0,0.0,276.0,1.0,0.0,19.0,0.0,175.0,12.0,4.0,906.0,11.0,3344
17031410200,1.0,44.0,104.0,148.0,0.0,2.0,128.0,0.0,23.0,61.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,52.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,56.0,0.0,0.0,3.0,0.0,73.0,1.0,3.0,329.0,4.0,1057
17031410500,7.0,339.0,993.0,606.0,0.0,35.0,679.0,2.0,115.0,161.0,0.0,20.0,4.0,0.0,7.0,1.0,9.0,2.0,266.0,201.0,0.0,0.0,0.0,1.0,47.0,0.0,447.0,1.0,0.0,14.0,0.0,182.0,15.0,3.0,1063.0,31.0,5251
17031410600,1.0,80.0,216.0,334.0,0.0,13.0,336.0,0.0,42.0,127.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,183.0,34.0,0.0,0.0,0.0,2.0,15.0,0.0,159.0,0.0,0.0,7.0,0.0,215.0,10.0,0.0,795.0,3.0,2580
17031410700,4.0,215.0,418.0,317.0,0.0,9.0,383.0,0.0,116.0,313.0,0.0,2.0,2.0,0.0,1.0,2.0,5.0,3.0,162.0,70.0,0.0,0.0,0.0,0.0,21.0,0.0,197.0,1.0,0.0,14.0,0.0,329.0,17.0,5.0,1345.0,6.0,3957
17031410800,4.0,421.0,760.0,292.0,0.0,23.0,480.0,1.0,183.0,623.0,0.0,4.0,3.0,0.0,9.0,2.0,3.0,15.0,183.0,217.0,0.0,0.0,0.0,0.0,21.0,0.0,429.0,0.0,1.0,24.0,0.0,305.0,21.0,3.0,1904.0,32.0,5963
17031410900,0.0,289.0,699.0,336.0,0.0,21.0,544.0,0.0,73.0,302.0,0.0,3.0,5.0,0.0,1.0,1.0,2.0,4.0,281.0,103.0,0.0,0.0,0.0,0.0,17.0,0.0,362.0,1.0,0.0,10.0,0.0,233.0,19.0,4.0,1346.0,17.0,4673
17031411000,2.0,217.0,548.0,275.0,0.0,22.0,498.0,0.0,54.0,308.0,0.0,0.0,3.0,0.0,3.0,5.0,2.0,3.0,308.0,84.0,0.0,0.0,0.0,1.0,41.0,0.0,312.0,2.0,1.0,15.0,0.0,237.0,34.0,3.0,1613.0,30.0,4621
17031411100,0.0,106.0,176.0,198.0,0.0,9.0,229.0,0.0,160.0,203.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,171.0,33.0,0.0,0.0,0.0,0.0,9.0,0.0,101.0,0.0,0.0,6.0,0.0,214.0,6.0,3.0,1379.0,3.0,3014
17031411200,1.0,58.0,137.0,135.0,0.0,8.0,188.0,0.0,33.0,129.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,146.0,18.0,0.0,0.0,0.0,0.0,8.0,0.0,60.0,0.0,0.0,4.0,0.0,182.0,9.0,0.0,624.0,9.0,1754
17031420100,5.0,547.0,1213.0,119.0,1.0,28.0,473.0,3.0,280.0,123.0,0.0,17.0,2.0,0.0,14.0,15.0,6.0,3.0,197.0,202.0,0.0,1.0,0.0,0.0,35.0,0.0,353.0,44.0,0.0,209.0,0.0,194.0,41.0,6.0,997.0,75.0,5203
17031420200,5.0,294.0,1041.0,223.0,0.0,16.0,503.0,4.0,51.0,138.0,0.0,9.0,2.0,0.0,10.0,2.0,7.0,4.0,242.0,133.0,0.0,0.0,0.0,0.0,35.0,0.0,362.0,1.0,0.0,26.0,0.0,128.0,20.0,5.0,711.0,45.0,4017
17031420300,1.0,188.0,557.0,362.0,0.0,21.0,430.0,1.0,47.0,96.0,0.0,2.0,7.0,0.0,2.0,0.0,12.0,3.0,177.0,78.0,0.0,0.0,0.0,1.0,41.0,0.0,286.0,0.0,0.0,10.0,0.0,128.0,9.0,2.0,582.0,28.0,3071
17031420400,6.0,378.0,944.0,304.0,0.0,20.0,591.0,2.0,281.0,237.0,0.0,15.0,6.0,0.0,11.0,3.0,4.0,4.0,212.0,417.0,0.0,0.0,0.0,1.0,30.0,0.0,385.0,3.0,0.0,29.0,0.0,260.0,15.0,4.0,986.0,69.0,5217
17031420500,22.0,1181.0,3380.0,728.0,0.0,46.0,1566.0,3.0,1744.0,220.0,0.0,52.0,16.0,0.0,30.0,14.0,7.0,6.0,357.0,2006.0,0.0,0.0,0.0,1.0,92.0,0.0,943.0,21.0,0.0,102.0,0.0,416.0,41.0,5.0,1344.0,193.0,14536
17031420600,13.0,922.0,3233.0,883.0,2.0,74.0,1458.0,4.0,624.0,215.0,0.0,85.0,23.0,0.0,44.0,9.0,11.0,23.0,428.0,2629.0,0.0,0.0,0.0,1.0,85.0,0.0,996.0,109.0,0.0,108.0,0.0,628.0,47.0,3.0,1349.0,189.0,14195
17031420700,55.0,2518.0,8345.0,1719.0,1.0,181.0,3461.0,6.0,1818.0,601.0,0.0,169.0,63.0,1.0,132.0,13.0,38.0,26.0,1047.0,4785.0,0.0,0.0,0.0,0.0,278.0,0.0,2088.0,581.0,0.0,251.0,0.0,1588.0,88.0,9.0,4097.0,436.0,34395
17031420800,14.0,909.0,2443.0,1022.0,0.0,49.0,1545.0,0.0,345.0,261.0,0.0,69.0,24.0,0.0,40.0,8.0,17.0,16.0,397.0,1191.0,0.0,0.0,0.0,0.0,110.0,0.0,916.0,15.0,0.0,101.0,0.0,493.0,39.0,12.0,1547.0,210.0,11793
17031421200,16.0,629.0,1851.0,489.0,1.0,45.0,756.0,0.0,294.0,223.0,0.0,27.0,11.0,0.0,33.0,6.0,4.0,9.0,339.0,1211.0,0.0,0.0,0.0,1.0,48.0,0.0,579.0,26.0,0.0,70.0,0.0,489.0,19.0,2.0,1157.0,154.0,8489
17031430101,20.0,1223.0,3777.0,1432.0,1.0,84.0,1904.0,4.0,481.0,543.0,0.0,70.0,38.0,0.0,52.0,7.0,22.0,7.0,784.0,1630.0,0.0,1.0,0.0,2.0,145.0,0.0,1405.0,3.0,0.0,97.0,0.0,870.0,56.0,13.0,2268.0,210.0,17149
17031430102,8.0,546.0,1728.0,754.0,0.0,48.0,1164.0,3.0,107.0,290.0,0.0,18.0,18.0,0.0,11.0,8.0,8.0,2.0,443.0,362.0,0.0,0.0,0.0,0.0,75.0,0.0,867.0,1.0,0.0,32.0,0.0,340.0,19.0,8.0,1537.0,50.0,8447
17031430200,20.0,1429.0,4301.0,1683.0,0.0,93.0,2602.0,3.0,657.0,858.0,0.0,107.0,37.0,0.0,66.0,16.0,17.0,8.0,895.0,1475.0,0.0,0.0,0.0,2.0,146.0,0.0,1478.0,11.0,0.0,120.0,0.0,1018.0,39.0,12.0,3046.0,254.0,20393
17031430300,22.0,949.0,3064.0,943.0,1.0,48.0,1579.0,0.0,352.0,233.0,0.0,63.0,18.0,0.0,29.0,7.0,9.0,15.0,412.0,1146.0,0.0,0.0,0.0,0.0,109.0,0.0,817.0,6.0,0.0,70.0,0.0,478.0,48.0,7.0,1488.0,192.0,12105
17031430400,29.0,1084.0,2882.0,1081.0,1.0,49.0,1769.0,3.0,351.0,356.0,0.0,23.0,33.0,0.0,46.0,10.0,5.0,13.0,518.0,1124.0,0.0,0.0,0.0,0.0,129.0,0.0,908.0,6.0,0.0,78.0,0.0,635.0,44.0,8.0,2293.0,207.0,13685
17031430500,21.0,1345.0,3914.0,1253.0,1.0,88.0,2034.0,4.0,465.0,702.0,0.0,25.0,37.0,0.0,42.0,3.0,12.0,4.0,687.0,1264.0,0.0,0.0,0.0,0.0,148.0,0.0,1361.0,24.0,0.0,75.0,0.0,842.0,55.0,8.0,3070.0,168.0,17652
17031430600,13.0,540.0,1577.0,639.0,0.0,26.0,946.0,4.0,418.0,368.0,0.0,5.0,14.0,0.0,17.0,6.0,10.0,7.0,354.0,510.0,0.0,0.0,0.0,0.0,46.0,0.0,594.0,6.0,1.0,35.0,0.0,426.0,18.0,4.0,3186.0,69.0,9839
