CENSUS TRACT,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
Census Tract 205,5.0,359.0,2.0,0.0,89.0,3.0,16.0,128.0,51.0,3.0,0.0,0.0,34.0,124.0,0.0,10.0,868.0,7.0,1.0,40.0,593.0,336.0,0.0,0.0,9.0,95.0,0.0,43.0,16.0,28.0,1.0,124.0,0.0,29.0,152.0,112.0,173.0,19.0,3470
Census Tract 206,4.0,463.0,0.0,2.0,202.0,17.0,24.0,288.0,40.0,3.0,3.0,2.0,72.0,115.0,0.0,11.0,1183.0,19.0,2.0,81.0,850.0,677.0,0.0,3.0,20.0,177.0,0.0,79.0,34.0,46.0,4.0,203.0,0.0,45.0,348.0,241.0,251.0,57.0,5566
Census Tract 207,5.0,305.0,0.0,1.0,149.0,11.0,22.0,90.0,21.0,4.0,2.0,1.0,24.0,68.0,0.0,17.0,855.0,7.0,1.0,95.0,877.0,528.0,0.0,3.0,10.0,71.0,1.0,58.0,52.0,25.0,4.0,173.0,0.0,15.0,273.0,187.0,123.0,24.0,4102
Census Tract 208,7.0,985.0,1.0,5.0,187.0,306.0,48.0,548.0,65.0,14.0,2.0,2.0,95.0,142.0,2.0,47.0,1540.0,28.0,26.0,169.0,913.0,1937.0,0.0,1377.0,35.0,394.0,16.0,166.0,73.0,55.0,2.0,356.0,0.0,41.0,454.0,263.0,567.0,159.0,11027
Census Tract 209,11.0,940.0,1.0,5.0,118.0,24.0,44.0,289.0,91.0,10.0,2.0,6.0,67.0,119.0,4.0,26.0,971.0,44.0,3.0,256.0,868.0,1231.0,0.0,32.0,22.0,334.0,16.0,125.0,40.0,33.0,4.0,283.0,0.0,40.0,296.0,186.0,331.0,114.0,6986
Census Tract 210,4.0,159.0,0.0,2.0,123.0,9.0,14.0,62.0,16.0,4.0,0.0,0.0,8.0,30.0,0.0,6.0,448.0,10.0,0.0,62.0,255.0,257.0,0.0,13.0,6.0,59.0,2.0,28.0,19.0,11.0,0.0,77.0,0.0,5.0,132.0,142.0,66.0,23.0,2052
Census Tract 211,1.0,77.0,3.0,1.0,93.0,0.0,8.0,17.0,4.0,4.0,0.0,1.0,22.0,21.0,0.0,1.0,375.0,2.0,0.0,32.0,148.0,138.0,0.0,2.0,2.0,30.0,2.0,16.0,1.0,5.0,1.0,69.0,0.0,5.0,95.0,135.0,22.0,8.0,1341
Census Tract 212,1.0,40.0,0.0,0.0,66.0,2.0,4.0,6.0,1.0,1.0,0.0,1.0,9.0,23.0,0.0,2.0,206.0,0.0,0.0,14.0,62.0,86.0,0.0,0.0,2.0,11.0,0.0,8.0,1.0,6.0,1.0,23.0,0.0,4.0,52.0,95.0,10.0,3.0,740
Census Tract 213,2.0,35.0,0.0,0.0,61.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,13.0,21.0,0.0,0.0,122.0,0.0,0.0,8.0,57.0,56.0,0.0,0.0,3.0,7.0,1.0,6.0,3.0,3.0,1.0,29.0,0.0,2.0,47.0,66.0,10.0,2.0,564
Census Tract 214,2.0,79.0,0.0,2.0,77.0,2.0,3.0,34.0,2.0,0.0,0.0,0.0,10.0,43.0,0.0,0.0,292.0,6.0,0.0,23.0,109.0,122.0,0.0,1.0,8.0,24.0,2.0,25.0,10.0,7.0,1.0,38.0,0.0,3.0,87.0,113.0,26.0,19.0,1170
Census Tract 215,3.0,110.0,0.0,0.0,130.0,1.0,8.0,37.0,5.0,0.0,0.0,0.0,10.0,32.0,0.0,2.0,370.0,0.0,1.0,37.0,175.0,257.0,0.0,0.0,6.0,38.0,0.0,22.0,2.0,12.0,1.0,66.0,0.0,8.0,125.0,236.0,24.0,10.0,1728
Census Tract 216,3.0,76.0,1.0,1.0,98.0,1.0,3.0,9.0,3.0,0.0,1.0,1.0,7.0,34.0,0.0,6.0,285.0,1.0,0.0,24.0,143.0,142.0,0.0,0.0,12.0,11.0,1.0,10.0,11.0,4.0,2.0,53.0,0.0,8.0,111.0,100.0,10.0,6.0,1178
Census Tract 217,6.0,150.0,1.0,0.0,105.0,3.0,1.0,53.0,2.0,3.0,0.0,2.0,17.0,41.0,0.0,8.0,446.0,1.0,0.0,66.0,199.0,206.0,1.0,0.0,24.0,26.0,2.0,26.0,4.0,2.0,0.0,90.0,0.0,12.0,174.0,142.0,24.0,12.0,1849
