GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031671300,16.0,261.0,972.0,288.0,22.0,476.0,0.0,88.0,35.0,12.0,2.0,12.0,0.0,5.0,0.0,116.0,644.0,0.0,0.0,1.0,26.0,0.0,170.0,16.0,0.0,31.0,160.0,10.0,0.0,434.0,89.0,3886
17031671400,9.0,198.0,669.0,231.0,16.0,458.0,0.0,50.0,49.0,19.0,9.0,8.0,2.0,3.0,7.0,114.0,361.0,0.0,0.0,0.0,18.0,0.0,140.0,24.0,0.0,25.0,94.0,10.0,1.0,439.0,96.0,3050
17031671500,8.0,350.0,1131.0,419.0,17.0,586.0,0.0,192.0,187.0,27.0,17.0,17.0,2.0,3.0,7.0,202.0,882.0,0.0,0.0,1.0,30.0,0.0,261.0,14.0,0.0,41.0,269.0,15.0,3.0,1087.0,119.0,5887
17031671600,9.0,217.0,777.0,366.0,18.0,458.0,0.0,71.0,75.0,17.0,4.0,12.0,1.0,5.0,4.0,160.0,642.0,0.0,0.0,0.0,19.0,0.0,187.0,33.0,0.0,27.0,186.0,5.0,1.0,596.0,92.0,3982
17031671800,4.0,125.0,410.0,137.0,4.0,190.0,0.0,32.0,37.0,9.0,4.0,4.0,0.0,4.0,3.0,97.0,258.0,0.0,0.0,0.0,11.0,0.0,85.0,2.0,0.0,11.0,90.0,2.0,1.0,250.0,43.0,1813
17031671900,2.0,85.0,299.0,189.0,7.0,147.0,0.0,18.0,21.0,2.0,5.0,2.0,0.0,2.0,0.0,76.0,113.0,0.0,0.0,0.0,9.0,0.0,81.0,10.0,0.0,6.0,81.0,3.0,2.0,195.0,31.0,1386
17031672000,3.0,340.0,1024.0,398.0,20.0,626.0,0.0,173.0,91.0,9.0,8.0,10.0,1.0,6.0,1.0,227.0,401.0,0.0,0.0,0.0,25.0,0.0,236.0,69.0,0.0,35.0,166.0,8.0,2.0,636.0,93.0,4608
17031680500,4.0,142.0,491.0,181.0,9.0,235.0,0.0,32.0,29.0,18.0,4.0,4.0,0.0,2.0,0.0,66.0,437.0,0.0,0.0,1.0,12.0,0.0,126.0,18.0,0.0,24.0,71.0,4.0,0.0,245.0,48.0,2203
17031680600,6.0,164.0,613.0,205.0,11.0,280.0,0.0,75.0,29.0,30.0,3.0,8.0,1.0,3.0,2.0,74.0,301.0,0.0,0.0,0.0,19.0,0.0,84.0,10.0,0.0,28.0,86.0,6.0,0.0,322.0,44.0,2404
17031680900,8.0,535.0,1665.0,418.0,36.0,666.0,0.0,181.0,139.0,22.0,7.0,14.0,2.0,3.0,2.0,297.0,641.0,0.0,0.0,1.0,33.0,0.0,315.0,14.0,0.0,43.0,477.0,28.0,4.0,1421.0,91.0,7063
17031681000,9.0,480.0,1304.0,411.0,20.0,627.0,0.0,247.0,126.0,17.0,10.0,16.0,1.0,6.0,2.0,232.0,685.0,0.0,0.0,0.0,37.0,0.0,300.0,26.0,0.0,43.0,269.0,16.0,3.0,795.0,89.0,5771
17031681100,4.0,443.0,1396.0,564.0,33.0,725.0,0.0,91.0,84.0,30.0,8.0,16.0,3.0,4.0,1.0,282.0,666.0,0.0,0.0,1.0,44.0,0.0,305.0,129.0,1.0,49.0,266.0,16.0,0.0,888.0,90.0,6139
17031681200,5.0,362.0,1144.0,384.0,19.0,508.0,0.0,134.0,52.0,10.0,11.0,7.0,1.0,6.0,2.0,161.0,450.0,0.0,0.0,0.0,29.0,0.0,195.0,55.0,0.0,106.0,271.0,15.0,1.0,534.0,83.0,4545
