City,Metro,Date,All Beds,1 Beds,2 Beds
Oakland,Bay Area,7/1/2016,"2,912","2,488","3,248"
Oakland,Bay Area,8/1/2016,"2,880","2,503","3,244"
Oakland,Bay Area,9/1/2016,"2,760","2,409","3,096"
Oakland,Bay Area,10/1/2016,"2,778","2,420","3,075"
Oakland,Bay Area,11/1/2016,"2,728","2,366","3,036"
Oakland,Bay Area,12/1/2016,"2,754","2,330","3,096"
Oakland,Bay Area,1/1/2017,"2,768","2,356","3,071"
Oakland,Bay Area,2/1/2017,"2,778","2,374","3,065"
Oakland,Bay Area,3/1/2017,"2,731","2,330","3,120"
Oakland,Bay Area,4/1/2017,"2,781","2,394","3,225"
Oakland,Bay Area,5/1/2017,"2,840","2,424","3,246"
Oakland,Bay Area,6/1/2017,"2,790","2,397","3,188"
Oakland,Bay Area,7/1/2017,"2,723","2,384","3,048"
Oakland,Bay Area,8/1/2017,"2,715","2,374","3,009"
Oakland,Bay Area,9/1/2017,"2,702","2,390","2,987"
Oakland,Bay Area,10/1/2017,"2,682","2,359","2,951"
Oakland,Bay Area,11/1/2017,"2,591","2,273","2,862"
Oakland,Bay Area,12/1/2017,"2,538","2,274","2,788"
Oakland,Bay Area,1/1/2018,"2,575","2,304","2,788"
Oakland,Bay Area,2/1/2018,"2,655","2,360","2,912"
Oakland,Bay Area,3/1/2018,"2,657","2,350","2,961"
Oakland,Bay Area,4/1/2018,"2,740","2,406","3,089"
Oakland,Bay Area,5/1/2018,"2,998","2,551","3,433"
Oakland,Bay Area,6/1/2018,"2,997","2,583","3,407"
Oakland,Bay Area,7/1/2018,"2,993","2,621","3,416"
Oakland,Bay Area,8/1/2018,"2,923","2,584","3,299"
Oakland,Bay Area,9/1/2018,"2,926","2,535","3,304"
Oakland,Bay Area,10/1/2018,"2,876","2,506","3,247"
Oakland,Bay Area,11/1/2018,"2,848","2,478","3,249"
Oakland,Bay Area,12/1/2018,"2,866","2,503","3,251"
Oakland,Bay Area,1/1/2019,"2,950","2,567","3,335"
Oakland,Bay Area,2/1/2019,"2,947","2,560","3,336"
Oakland,Bay Area,3/1/2019,"2,992","2,599","3,369"
Oakland,Bay Area,4/1/2019,"3,040","2,636","3,423"
Oakland,Bay Area,10/1/2019,"2,863","2,549","3,219"
Oakland,Bay Area,11/1/2019,"2,858","2,538","3,175"
Oakland,Bay Area,12/1/2019,"2,863","2,551","3,171"
Oakland,Bay Area,1/1/2020,"2,712","2,417","3,027"
Oakland,Bay Area,3/1/2020,"2,769","2,464","3,072"
Oakland,Bay Area,4/1/2020,"2,791","2,460","3,150"
Oakland,Bay Area,5/1/2020,"2,922","2,497","3,347"
San Jose,Bay Area,1/1/2011,"1,742","1,467","1,926"
San Jose,Bay Area,2/1/2011,"1,733","1,470","1,951"
San Jose,Bay Area,3/1/2011,"1,786","1,480","2,038"
