"GEOID","Region","Year","Renters","Eviction_Filings","Evictions","Eviction_Filings_RR","Evictions_RR"
"17031031300","Chicago",2016,2736,47,13,0.48,0.33
"17031031400","Chicago",2016,1469,30,6,0.57,0.29
"17031031501","Chicago",2016,1558,39,1,0.7,0.04
"17031031502","Chicago",2016,2043,70,16,0.96,0.55
"17031031700","Chicago",2016,2510,62,19,0.69,0.53
"17031031800","Chicago",2016,559,5,3,0.25,0.38
"17031031900","Chicago",2016,763,9,1,0.33,0.09
"17031032100","Chicago",2016,3190,44,14,0.39,0.31
"17031040100","Chicago",2016,931,9,2,0.27,0.15
"17031040201","Chicago",2016,1868,15,3,0.22,0.11
"17031040202","Chicago",2016,1907,24,7,0.35,0.26
"17031040300","Chicago",2016,451,4,1,0.25,0.16
"17031040401","Chicago",2016,787,12,4,0.43,0.36
"17031040402","Chicago",2016,1626,14,8,0.24,0.34
"17031040600","Chicago",2016,952,5,2,0.15,0.15
