GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031310300,0.0,34.0,97.0,50.0,0.0,10.0,100.0,0.0,7.0,43.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,41.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,36.0,0.0,0.0,1.0,15.0,1.0,2.0,138.0,7.0,605
17031310400,2.0,23.0,54.0,19.0,0.0,5.0,66.0,0.0,0.0,14.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,17.0,14.0,0.0,0.0,0.0,0.0,6.0,0.0,20.0,0.0,0.0,5.0,14.0,2.0,0.0,58.0,4.0,328
17031310500,3.0,33.0,80.0,15.0,0.0,2.0,75.0,0.0,6.0,23.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,26.0,0.0,0.0,0.0,0.0,4.0,0.0,19.0,0.0,0.0,2.0,7.0,2.0,2.0,82.0,3.0,405
17031310600,6.0,144.0,334.0,105.0,0.0,7.0,260.0,1.0,49.0,75.0,0.0,4.0,0.0,2.0,1.0,0.0,6.0,91.0,80.0,0.0,0.0,0.0,0.0,8.0,0.0,122.0,1.0,0.0,21.0,49.0,9.0,0.0,362.0,24.0,1761
17031310700,2.0,45.0,117.0,37.0,0.0,3.0,71.0,1.0,14.0,28.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,20.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,0.0,0.0,6.0,15.0,4.0,0.0,83.0,10.0,517
17031310800,4.0,105.0,272.0,58.0,1.0,10.0,218.0,0.0,27.0,68.0,0.0,3.0,0.0,3.0,4.0,0.0,6.0,58.0,67.0,0.0,0.0,0.0,0.0,15.0,0.0,78.0,0.0,0.0,18.0,37.0,10.0,1.0,298.0,27.0,1388
17031310900,3.0,118.0,285.0,77.0,0.0,9.0,230.0,0.0,24.0,69.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,72.0,57.0,0.0,0.0,0.0,0.0,17.0,0.0,89.0,0.0,0.0,18.0,43.0,8.0,0.0,251.0,26.0,1404
17031320100,5.0,358.0,920.0,119.0,0.0,40.0,446.0,2.0,343.0,1665.0,1.0,0.0,1.0,11.0,4.0,3.0,12.0,99.0,115.0,0.0,1.0,0.0,2.0,9.0,0.0,283.0,52.0,0.0,63.0,280.0,32.0,7.0,7603.0,10.0,12486
17031320400,5.0,237.0,612.0,40.0,1.0,26.0,244.0,1.0,294.0,1019.0,0.0,4.0,1.0,11.0,0.0,1.0,7.0,53.0,91.0,0.0,4.0,0.0,0.0,10.0,0.0,118.0,7.0,1.0,51.0,221.0,24.0,2.0,3638.0,11.0,6734
17031320600,2.0,107.0,275.0,38.0,0.0,18.0,149.0,0.0,93.0,235.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,47.0,51.0,0.0,0.0,0.0,0.0,1.0,2.0,82.0,3.0,0.0,22.0,99.0,9.0,2.0,750.0,1.0,1993
17031330100,6.0,345.0,966.0,171.0,1.0,28.0,477.0,1.0,366.0,895.0,0.0,2.0,0.0,14.0,3.0,2.0,7.0,200.0,63.0,0.0,2.0,0.0,5.0,29.0,1.0,327.0,5.0,0.0,23.0,196.0,35.0,11.0,2086.0,24.0,6291
17031330200,0.0,90.0,226.0,33.0,0.0,7.0,155.0,0.0,53.0,216.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,58.0,45.0,0.0,1.0,0.0,0.0,23.0,0.0,91.0,0.0,0.0,10.0,51.0,6.0,6.0,570.0,5.0,1654
17031340300,0.0,14.0,37.0,21.0,0.0,1.0,45.0,0.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,27.0,2.0,1.0,73.0,0.0,287
17031340400,1.0,36.0,74.0,47.0,0.0,3.0,60.0,0.0,15.0,30.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,40.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,54.0,0.0,0.0,157.0,4.0,549
17031340500,0.0,51.0,113.0,17.0,0.0,2.0,69.0,0.0,13.0,48.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,35.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,46.0,0.0,0.0,7.0,79.0,1.0,0.0,212.0,6.0,726
17031340600,0.0,111.0,393.0,13.0,0.0,4.0,110.0,1.0,112.0,198.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,28.0,44.0,0.0,0.0,0.0,0.0,12.0,0.0,66.0,0.0,0.0,12.0,44.0,7.0,1.0,174.0,31.0,1370
17031350100,0.0,21.0,34.0,7.0,0.0,1.0,64.0,0.0,10.0,52.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,5.0,27.0,1.0,0.0,176.0,1.0,447
17031350400,0.0,128.0,405.0,19.0,0.0,10.0,95.0,0.0,157.0,41.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,46.0,9.0,0.0,0.0,0.0,0.0,16.0,0.0,113.0,0.0,0.0,6.0,28.0,8.0,2.0,195.0,19.0,1301
17031351000,1.0,85.0,258.0,45.0,0.0,9.0,165.0,0.0,31.0,122.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,82.0,24.0,0.0,0.0,0.0,0.0,7.0,0.0,84.0,0.0,0.0,4.0,121.0,5.0,1.0,582.0,6.0,1635
17031351100,0.0,191.0,408.0,22.0,0.0,10.0,134.0,0.0,88.0,59.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,65.0,33.0,0.0,0.0,0.0,0.0,11.0,0.0,138.0,0.0,0.0,4.0,41.0,4.0,0.0,261.0,21.0,1498
17031351400,0.0,105.0,275.0,18.0,0.0,7.0,128.0,0.0,36.0,81.0,0.0,5.0,0.0,1.0,1.0,3.0,1.0,40.0,77.0,1.0,2.0,0.0,0.0,9.0,0.0,175.0,0.0,0.0,13.0,42.0,10.0,0.0,190.0,11.0,1231
