GEOID,BAD CHECKS,BRIBERY,DRIVING UNDER THE INFLUENCE,DRUNKENNESS,EXTORTION,KIDNAPPING,LOITERING,PORNOGRAPHY/OBSCENE MAT,RUNAWAY,SECONDARY CODES,TREA,TRESPASS,CIVIL SIDEWALKS,DRUG OFFENSE,FIRE REPORT,HOMICIDE,HUMAN TRAFFICKING,JUVENILE OFFENSES,LOST PROPERTY,MALICIOUS MISCHIEF,MOTOR VEHICLE THEFT,OFFENCES AGAINST THE FAMILY AND CHILDREN,TRAFFIC COLLISION,TRAFFIC VIOLATION ARREST,VEHICLE IMPOUNDED,VEHICLE MISPLACED,WEAPONS OFFENSE,ARSON,ASSAULT,BURGLARY,DISORDERLY CONDUCT,DRUG/NARCOTIC,EMBEZZLEMENT,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,LARCENY/THEFT,LIQUOR LAWS,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
06075042601,5.0,2.0,12.0,11.0,1.0,5.0,0.0,0.0,3.0,59.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,28.0,0.0,6.0,1.0,5.0,1.0,1.0,0.0,6.0,262.0,271.0,11.0,37.0,8.0,6.0,80.0,140.0,1.0,897.0,2.0,83.0,360.0,421.0,3.0,15.0,44.0,19.0,10.0,4.0,173.0,258.0,300.0,41.0,18.0,3637
06075042602,2.0,1.0,24.0,14.0,3.0,4.0,0.0,0.0,2.0,40.0,0.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0,13.0,35.0,0.0,16.0,5.0,5.0,2.0,0.0,0.0,4.0,284.0,245.0,11.0,30.0,4.0,1.0,52.0,115.0,0.0,801.0,10.0,54.0,422.0,494.0,1.0,40.0,70.0,10.0,22.0,4.0,195.0,252.0,371.0,79.0,21.0,3784
06075042700,3.0,0.0,21.0,21.0,4.0,9.0,0.0,0.0,5.0,136.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,11.0,525.0,321.0,40.0,68.0,9.0,8.0,64.0,172.0,1.0,979.0,9.0,198.0,712.0,614.0,1.0,14.0,77.0,49.0,22.0,12.0,344.0,340.0,377.0,77.0,66.0,5374
06075042800,1.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,14.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,10.0,0.0,4.0,1.0,0.0,0.0,3.0,66.0,197.0,5.0,10.0,0.0,3.0,31.0,75.0,0.0,521.0,1.0,29.0,261.0,179.0,0.0,30.0,9.0,1.0,8.0,0.0,151.0,135.0,201.0,21.0,9.0,2031
06075045100,3.0,0.0,72.0,29.0,3.0,6.0,0.0,0.0,7.0,58.0,0.0,19.0,1.0,0.0,5.0,0.0,0.0,0.0,67.0,41.0,1.0,23.0,8.0,10.0,1.0,2.0,0.0,14.0,462.0,304.0,21.0,102.0,8.0,9.0,57.0,196.0,1.0,1126.0,17.0,234.0,931.0,1007.0,7.0,36.0,120.0,30.0,17.0,3.0,294.0,401.0,595.0,110.0,46.0,6582
06075045200,1.0,0.0,110.0,32.0,5.0,18.0,0.0,1.0,7.0,100.0,0.0,46.0,2.0,0.0,1.0,0.0,0.0,0.0,44.0,99.0,0.0,31.0,2.0,17.0,4.0,1.0,0.0,17.0,643.0,501.0,23.0,137.0,10.0,5.0,115.0,267.0,1.0,2260.0,11.0,224.0,2260.0,1484.0,5.0,62.0,175.0,38.0,41.0,6.0,437.0,597.0,706.0,282.0,56.0,10906
06075047600,1.0,0.0,65.0,18.0,2.0,10.0,1.0,0.0,2.0,55.0,0.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,27.0,69.0,0.0,19.0,2.0,82.0,4.0,3.0,0.0,10.0,367.0,307.0,20.0,111.0,11.0,3.0,65.0,199.0,0.0,1325.0,6.0,165.0,850.0,1062.0,7.0,45.0,106.0,24.0,24.0,5.0,286.0,389.0,568.0,134.0,31.0,6515
06075047701,4.0,0.0,51.0,18.0,3.0,6.0,0.0,0.0,4.0,61.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,26.0,63.0,0.0,7.0,3.0,9.0,0.0,0.0,0.0,13.0,364.0,258.0,22.0,62.0,4.0,0.0,75.0,139.0,0.0,1214.0,13.0,125.0,638.0,696.0,3.0,29.0,98.0,17.0,25.0,4.0,266.0,340.0,324.0,97.0,37.0,5141
06075047702,0.0,3.0,13.0,5.0,0.0,8.0,0.0,0.0,5.0,32.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,10.0,195.0,181.0,6.0,33.0,0.0,1.0,37.0,94.0,1.0,436.0,3.0,101.0,338.0,303.0,2.0,37.0,43.0,16.0,9.0,3.0,142.0,183.0,373.0,40.0,22.0,2727
06075047801,1.0,1.0,9.0,11.0,6.0,13.0,4.0,0.0,85.0,112.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,27.0,0.0,11.0,1.0,1.0,4.0,0.0,0.0,21.0,442.0,224.0,55.0,97.0,5.0,3.0,44.0,138.0,1.0,704.0,11.0,388.0,534.0,460.0,3.0,22.0,80.0,39.0,23.0,3.0,283.0,324.0,401.0,55.0,62.0,4757
06075047802,1.0,1.0,16.0,8.0,4.0,13.0,0.0,0.0,10.0,67.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,0.0,16.0,1.0,3.0,2.0,0.0,0.0,5.0,257.0,175.0,13.0,37.0,1.0,4.0,31.0,90.0,1.0,600.0,4.0,121.0,442.0,340.0,1.0,27.0,47.0,13.0,6.0,4.0,160.0,212.0,302.0,31.0,24.0,3136
06075047901,3.0,3.0,12.0,21.0,4.0,12.0,0.0,0.0,2.0,85.0,0.0,50.0,0.0,0.0,3.0,1.0,0.0,0.0,34.0,123.0,1.0,36.0,6.0,11.0,3.0,3.0,0.0,20.0,617.0,396.0,35.0,139.0,4.0,6.0,88.0,238.0,1.0,4176.0,6.0,212.0,1016.0,953.0,8.0,80.0,161.0,42.0,58.0,6.0,365.0,492.0,675.0,251.0,57.0,10527
06075047902,0.0,2.0,3.0,5.0,2.0,7.0,0.0,0.0,7.0,52.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,39.0,0.0,29.0,4.0,2.0,2.0,0.0,0.0,3.0,222.0,142.0,13.0,45.0,4.0,3.0,30.0,99.0,1.0,649.0,2.0,109.0,420.0,367.0,1.0,18.0,31.0,16.0,14.0,9.0,159.0,217.0,274.0,66.0,16.0,3110
06075060100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,0.0,8.0,0.0,4.0,3.0,0.0,0.0,1.0,55.0,20.0,10.0,5.0,0.0,0.0,6.0,48.0,0.0,730.0,2.0,18.0,191.0,105.0,1.0,10.0,14.0,6.0,12.0,41.0,39.0,45.0,55.0,26.0,4.0,1516
