GEOID,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,HUMAN TRAFFICKING,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
53033008800,3.0,413.0,12.0,0.0,147.0,16.0,0.0,264.0,49.0,38.0,1.0,2.0,0.0,100.0,2.0,0.0,0.0,0.0,653.0,2.0,99.0,0.0,0.0,0.0,61.0,0.0,0.0,9.0,93.0,54.0,2018
53033008900,2.0,472.0,28.0,0.0,235.0,15.0,1.0,286.0,43.0,31.0,2.0,3.0,0.0,155.0,1.0,0.0,0.0,0.0,971.0,1.0,148.0,0.0,1.0,1.0,54.0,0.0,0.0,11.0,118.0,40.0,2619
53033009000,3.0,531.0,6.0,0.0,285.0,22.0,4.0,307.0,79.0,188.0,4.0,1.0,0.0,125.0,1.0,0.0,0.0,0.0,2692.0,3.0,118.0,0.0,1.0,35.0,130.0,0.0,0.0,23.0,188.0,46.0,4792
53033009100,9.0,485.0,14.0,0.0,201.0,13.0,5.0,373.0,50.0,195.0,1.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,2425.0,4.0,106.0,0.0,0.0,68.0,157.0,0.0,0.0,25.0,274.0,44.0,4549
53033009200,5.0,1670.0,20.0,0.0,228.0,20.0,18.0,508.0,76.0,411.0,13.0,5.0,0.0,135.0,0.0,0.0,0.0,0.0,1417.0,33.0,92.0,0.0,0.0,25.0,255.0,0.0,0.0,30.0,365.0,97.0,5423
53033009300,26.0,1500.0,48.0,0.0,596.0,44.0,18.0,1018.0,325.0,291.0,61.0,4.0,0.0,357.0,0.0,0.0,0.0,0.0,3923.0,23.0,464.0,0.0,2.0,12.0,196.0,0.0,0.0,69.0,476.0,102.0,9555
53033009400,7.0,584.0,18.0,0.0,359.0,18.0,2.0,390.0,72.0,130.0,4.0,5.0,0.0,146.0,0.0,0.0,0.0,0.0,1300.0,3.0,306.0,0.0,1.0,16.0,108.0,0.0,0.0,38.0,159.0,61.0,3727
53033009500,6.0,581.0,31.0,0.0,366.0,13.0,1.0,412.0,69.0,99.0,5.0,1.0,0.0,185.0,0.0,0.0,0.0,0.0,1660.0,14.0,216.0,0.0,1.0,1.0,134.0,0.0,0.0,31.0,169.0,61.0,4056
53033009600,1.0,186.0,11.0,1.0,175.0,7.0,0.0,154.0,29.0,14.0,1.0,2.0,0.0,149.0,0.0,0.0,0.0,0.0,591.0,2.0,120.0,0.0,0.0,0.0,25.0,0.0,0.0,9.0,39.0,12.0,1528
53033009701,3.0,190.0,12.0,0.0,124.0,4.0,1.0,189.0,23.0,9.0,2.0,1.0,0.0,137.0,0.0,0.0,0.0,0.0,374.0,4.0,125.0,0.0,0.0,1.0,15.0,0.0,0.0,3.0,16.0,12.0,1245
53033009702,0.0,66.0,12.0,0.0,112.0,2.0,0.0,93.0,13.0,3.0,0.0,3.0,0.0,126.0,0.0,0.0,0.0,0.0,270.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,759
53033009800,10.0,214.0,13.0,0.0,206.0,9.0,1.0,249.0,31.0,19.0,4.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,836.0,2.0,188.0,0.0,2.0,0.0,59.0,0.0,0.0,3.0,49.0,7.0,2090
53033009900,6.0,329.0,15.0,0.0,321.0,18.0,0.0,282.0,78.0,15.0,8.0,2.0,0.0,152.0,0.0,0.0,0.0,0.0,791.0,1.0,203.0,0.0,1.0,5.0,29.0,0.0,0.0,12.0,73.0,27.0,2368
53033010001,2.0,292.0,14.0,0.0,186.0,5.0,0.0,237.0,48.0,22.0,0.0,2.0,0.0,88.0,0.0,0.0,0.0,0.0,550.0,1.0,215.0,0.0,1.0,3.0,56.0,0.0,0.0,10.0,38.0,30.0,1800
53033010002,1.0,179.0,10.0,0.0,162.0,5.0,1.0,139.0,21.0,18.0,2.0,2.0,0.0,71.0,0.0,0.0,0.0,0.0,359.0,2.0,177.0,0.0,1.0,7.0,49.0,0.0,0.0,3.0,30.0,8.0,1247
53033010100,4.0,595.0,23.0,0.0,365.0,11.0,0.0,371.0,70.0,74.0,6.0,4.0,0.0,178.0,0.0,0.0,0.0,0.0,1477.0,8.0,267.0,0.0,0.0,2.0,140.0,0.0,0.0,21.0,158.0,58.0,3832
53033010200,1.0,158.0,14.0,0.0,212.0,5.0,0.0,168.0,33.0,6.0,0.0,2.0,0.0,104.0,0.0,0.0,0.0,0.0,813.0,0.0,140.0,0.0,0.0,0.0,21.0,0.0,0.0,7.0,19.0,15.0,1718
53033010300,2.0,483.0,19.0,1.0,419.0,19.0,1.0,337.0,35.0,33.0,8.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,885.0,2.0,298.0,0.0,1.0,0.0,88.0,0.0,0.0,17.0,74.0,50.0,2914
53033010401,7.0,242.0,7.0,0.0,219.0,1.0,0.0,186.0,23.0,23.0,1.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,334.0,2.0,129.0,0.0,0.0,1.0,53.0,0.0,0.0,16.0,33.0,19.0,1381
