"GEOID","REGION","Year","Renters","Eviction_Filings","Evictions","Eviction_Filings_RR","Evictions_RR"
"08031004404","Denver",2016,2063,153,83,1.11,1.31
"08031003703","Denver",2016,1188,7,5,0.09,0.14
"08031002402","Denver",2016,555,12,8,0.32,0.47
"08031005502","Denver",2016,340,28,8,1.23,0.77
"08031004103","Denver",2016,339,4,3,0.18,0.29
"08031012001","Denver",2016,254,7,7,0.41,0.9
"08031015700","Denver",2016,1225,270,110,3.3,2.93
"08031002801","Denver",2016,1010,17,6,0.25,0.19
"08031003702","Denver",2016,2089,32,25,0.23,0.39
"08031000902","Denver",2016,651,11,4,0.25,0.2
"08031001500","Denver",2016,751,31,26,0.62,1.13
"08031003603","Denver",2016,617,7,5,0.17,0.26
"08031008304","Denver",2016,340,24,12,1.06,1.15
"08031003003","Denver",2016,800,18,9,0.34,0.37
"08031003202","Denver",2016,1567,15,10,0.14,0.21
"08031002403","Denver",2016,1556,80,44,0.77,0.92
"08031007089","Denver",2016,1286,34,15,0.4,0.38
"08031004403","Denver",2016,1158,58,42,0.75,1.18
"08031002601","Denver",2016,2299,97,40,0.63,0.57
"08031000402","Denver",2016,1861,34,21,0.27,0.37
"08031003901","Denver",2016,564,48,20,1.27,1.16
"08031002802","Denver",2016,2185,32,17,0.22,0.25
"08031003201","Denver",2016,2677,25,14,0.14,0.17
"08031005102","Denver",2016,423,17,12,0.6,0.93
"08031008312","Denver",2016,974,107,41,1.64,1.37
"08031001102","Denver",2016,1185,39,15,0.49,0.41
"08031004503","Denver",2016,756,30,17,0.59,0.73
"08031002702","Denver",2016,2893,65,35,0.34,0.4
"08031004101","Denver",2016,1007,83,43,1.23,1.39
"08031008391","Denver",2016,468,39,11,1.25,0.77
"08031003300","Denver",2016,516,7,4,0.2,0.25
"08031001402","Denver",2016,669,24,20,0.54,0.98
"08031015500","Denver",2016,1726,176,81,1.52,1.53
"08031004005","Denver",2016,1548,24,18,0.23,0.38
"08031004506","Denver",2016,658,16,9,0.36,0.45
"08031003004","Denver",2016,1556,27,8,0.26,0.17
"08031004306","Denver",2016,840,130,36,2.31,1.4
"08031004201","Denver",2016,515,3,2,0.09,0.13
"08031008387","Denver",2016,394,11,4,0.42,0.33
"08031004303","Denver",2016,179,1,0,0.08,0
"08031011902","Denver",2016,1542,157,62,1.52,1.31
"08031000301","Denver",2016,1197,10,5,0.12,0.14
"08031004304","Denver",2016,1007,9,4,0.13,0.13
"08031004006","Denver",2016,1066,19,7,0.27,0.21
"08031003101","Denver",2016,451,11,5,0.36,0.36
"08031980000","Denver",2016,183,8,5,0.65,0.89
"08031004107","Denver",2016,1341,43,19,0.48,0.46
"08031008306","Denver",2016,886,189,99,3.19,3.65
"08031000302","Denver",2016,854,1,1,0.02,0.04
"08031004003","Denver",2016,677,12,7,0.27,0.34
"08031011903","Denver",2016,281,4,4,0.21,0.46
"08031002300","Denver",2016,1006,36,22,0.54,0.71
"08031004405","Denver",2016,2346,105,42,0.67,0.58
"08031008389","Denver",2016,368,56,16,2.28,1.42
"08031006814","Denver",2016,1201,164,63,2.04,1.71
"08031001901","Denver",2016,933,49,17,0.79,0.59
"08031004504","Denver",2016,588,22,8,0.56,0.44
"08031002803","Denver",2016,2564,31,17,0.18,0.22
"08031004104","Denver",2016,519,15,8,0.43,0.5
"08031980100","Denver",2016,1,1,1,NA,NA
"08031002902","Denver",2016,755,3,1,0.06,0.04
